Sr No,MODULE_NAME,SUB_MODULE_NAME,API_path,HTTP_Method,API_name,Contoller_Name,Claim_name,ACTION,Role_name
97,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/min-requirement,DELETE,Delete course min requirements,CourseMinRequirementController.deleteCourseMinRequirements,,,
98,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/intake,POST,Add course intake,CourseIntakeController.saveAll,,,
99,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/intake,GET,Get course intake,CourseIntakeController.getCourseIntake,,,
100,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/intake,DELETE,Delete course intake,CourseIntakeController.deleteCourseIntake,,,
101,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/institute,POST,,CourseInstituteController.createLinks,,,
102,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/institute,GET,,CourseInstituteController.getLinkedInstitutes,,,
103,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/institute,DELETE,,CourseInstituteController.unLinkInstitutes,,,
104,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/funding/instituteId/{instituteId}/add-funding-to-all-courses,POST,,CourseFundingController.addFundingToAllInstituteCourses,,,
105,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/funding ,POST,,CourseFundingController.saveAll,,,
106,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/funding,DELETE,,CourseFundingController.deleteByFundingNameIds,,,
107,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/english-eligibility,POST,,CourseEnglishEligibilityController.saveUpdateCourseEnglishEligibility,,,
108,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/english-eligibility,GET,,CourseEnglishEligibilityController.getAllCourseEnglishEligibility,,,
109,INSTITUTE_MODULE,INSTITUTE,/api/v1//course/{courseId}/english-eligibility,DELETE,,CourseEnglishEligibilityController.deleteByCourseId,,,
110,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/delivery-mode,POST,,CourseDeliveryModeController.saveUpdateCourseDeliveryMode,,,
111,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/delivery-mode,GET,,CourseDeliveryModeController.getAllCourseDeliveryMode,,,
112,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/delivery-mode,DELETE,,CourseDeliveryModeController.deleteByCourseDeliveryModeIds,,,
113,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/contact-person,POST,,CourseContactPersonController.saveAll,,,
114,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/contact-person,DELETE,,CourseContactPersonController.deleteByCourseAndUserIds,,,
115,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/career-outcome,POST,, CourseCareerOutcomeController.saveUpdateCourseCareerOutcomes,,,
116,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/career-outcome,GET,,CourseCareerOutcomeController.getCourseCareerOutcomesById,,,
117,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/career-outcome,DELETE,,CourseCareerOutcomeController.deleteByCourseCareerOutcomeIds,,,
118,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/aboutme,POST,,CourseAboutMeController.addAboutMe,,,
119,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/aboutme/{id},PUT,,CourseAboutMeController.updateAboutMe,,,
120,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/aboutme/{id},DELETE,,CourseAboutMeController.deleteAboutMe,,,
